page_id,category,subcategory,gt_rel,html_rel,clean_rel,digital_rel,real_rel,real_chain_label,real_chain_cn,paper_condition,lighting_condition,capture_method,page_info_image_path,page_info_matches_expected
02_education/05_syllabus/syllabus_006_医学院_系统解剖学,02_education,05_syllabus,02_education/05_syllabus/syllabus_006_医学院_系统解剖学.json,02_education/05_syllabus/syllabus_006_医学院_系统解剖学.html,02_education/05_syllabus/syllabus_006_医学院_系统解剖学.png,02_education/05_syllabus/syllabus_006_医学院_系统解剖学.png,02_education/05_syllabus/syllabus_006_医学院_系统解剖学__real_screen_na_screen_screen.jpg,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,02_education/05_syllabus/syllabus_006_医学院_系统解剖学.png,true
02_education/06_lab_report/lab_report_001_杨氏模量测定实验,02_education,06_lab_report,02_education/06_lab_report/lab_report_001_杨氏模量测定实验.json,02_education/06_lab_report/lab_report_001_杨氏模量测定实验.html,02_education/06_lab_report/lab_report_001_杨氏模量测定实验.png,02_education/06_lab_report/lab_report_001_杨氏模量测定实验.png,02_education/06_lab_report/lab_report_001_杨氏模量测定实验__real_screenshot_na_na_na.png,screenshot_compressed,截图+转发压缩,无(纯数字),无,无,02_education/06_lab_report/lab_report_001_杨氏模量测定实验.png,true
03_legal_gov/01_gov_document/gov_document_001_联合发文通知,03_legal_gov,01_gov_document,03_legal_gov/01_gov_document/gov_document_001_联合发文通知.json,03_legal_gov/01_gov_document/gov_document_001_联合发文通知.html,03_legal_gov/01_gov_document/gov_document_001_联合发文通知.png,03_legal_gov/01_gov_document/gov_document_001_联合发文通知.png,03_legal_gov/01_gov_document/gov_document_001_联合发文通知__real_phone_photocopy_photocopy_normal_top.png,phone_photocopy,手机拍复印件,复印件,室内正常光,俯拍,03_legal_gov/01_gov_document/gov_document_001_联合发文通知.png,true
03_legal_gov/02_court_document/court_document_001_民事判决书,03_legal_gov,02_court_document,03_legal_gov/02_court_document/court_document_001_民事判决书.json,03_legal_gov/02_court_document/court_document_001_民事判决书.html,03_legal_gov/02_court_document/court_document_001_民事判决书.png,03_legal_gov/02_court_document/court_document_001_民事判决书.png,03_legal_gov/02_court_document/court_document_001_民事判决书__real_phone_photocopy_photocopy_normal_top.png,phone_photocopy,手机拍复印件,复印件,室内正常光,俯拍,03_legal_gov/02_court_document/court_document_001_民事判决书.png,true
03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书,03_legal_gov,03_notarial_document,03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书.json,03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书.html,03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书.png,03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书.png,03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,03_legal_gov/03_notarial_document/notarial_document_001_房产继承公证书.png,true
03_legal_gov/04_license_permit/business_license_001_营业执照,03_legal_gov,04_license_permit,03_legal_gov/04_license_permit/business_license_001_营业执照.json,03_legal_gov/04_license_permit/business_license_001_营业执照.html,03_legal_gov/04_license_permit/business_license_001_营业执照.png,03_legal_gov/04_license_permit/business_license_001_营业执照.png,03_legal_gov/04_license_permit/business_license_001_营业执照__real_phone_cover_normal_top.jpg,phone_through_cover_indoor_normal_top,手机拍纸质文档,隔塑料套/玻璃,室内正常光,俯拍,03_legal_gov/04_license_permit/business_license_001_营业执照.png,true
03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法,03_legal_gov,05_legislation,03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法.json,03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法.html,03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法.png,03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法.png,03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法__real_phone_photocopy.png,phone_photocopy,手机拍复印件,复印件,室内正常光,俯拍,03_legal_gov/05_legislation/legislation_001_中华人民共和国数据安全法.png,true
03_legal_gov/06_accident_report/accident_report_001_交通事故认定书,03_legal_gov,06_accident_report,03_legal_gov/06_accident_report/accident_report_001_交通事故认定书.json,03_legal_gov/06_accident_report/accident_report_001_交通事故认定书.html,03_legal_gov/06_accident_report/accident_report_001_交通事故认定书.png,03_legal_gov/06_accident_report/accident_report_001_交通事故认定书.png,03_legal_gov/06_accident_report/accident_report_001_交通事故认定书__real_phone_creased_normal_top.png,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,03_legal_gov/06_accident_report/accident_report_001_交通事故认定书.png,true
04_business/01_contract/contract_002_技术开发合同,04_business,01_contract,04_business/01_contract/contract_002_技术开发合同.json,04_business/01_contract/contract_002_技术开发合同.html,04_business/01_contract/contract_002_技术开发合同.png,04_business/01_contract/contract_002_技术开发合同.png,04_business/01_contract/contract_002_技术开发合同__real_phone_photocopy_photocopy_normal_top.png,phone_photocopy,手机拍复印件,复印件,室内正常光,俯拍,04_business/01_contract/contract_002_技术开发合同.png,true
04_business/02_quotation/quotation_001_IT设备采购报价单,04_business,02_quotation,04_business/02_quotation/quotation_001_IT设备采购报价单.json,04_business/02_quotation/quotation_001_IT设备采购报价单.html,04_business/02_quotation/quotation_001_IT设备采购报价单.png,04_business/02_quotation/quotation_001_IT设备采购报价单.png,04_business/02_quotation/quotation_001_IT设备采购报价单__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,04_business/02_quotation/quotation_001_IT设备采购报价单.png,true
04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权,04_business,03_formal_letter,04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权.json,04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权.html,04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权.png,04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权.png,04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,04_business/03_formal_letter/formal_letter_001_律师函_知识产权侵权.png,true
04_business/04_meeting_memo/meeting_memo_001_部门周会纪要,04_business,04_meeting_memo,04_business/04_meeting_memo/meeting_memo_001_部门周会纪要.json,04_business/04_meeting_memo/meeting_memo_001_部门周会纪要.html,04_business/04_meeting_memo/meeting_memo_001_部门周会纪要.png,04_business/04_meeting_memo/meeting_memo_001_部门周会纪要.png,04_business/04_meeting_memo/meeting_memo_001_部门周会纪要__real_phone_handheld_normal_oblique.png,phone_handheld_indoor_normal_oblique,手机拍纸质文档,平整(手持),室内正常光,斜拍(30-45度),04_business/04_meeting_memo/meeting_memo_001_部门周会纪要.png,true
04_business/05_resume/resume_001_应届毕业生求职简历,04_business,05_resume,04_business/05_resume/resume_001_应届毕业生求职简历.json,04_business/05_resume/resume_001_应届毕业生求职简历.html,04_business/05_resume/resume_001_应届毕业生求职简历.png,04_business/05_resume/resume_001_应届毕业生求职简历.png,04_business/05_resume/resume_001_应届毕业生求职简历__real_screenshot_na_na_na.png,screenshot_compressed,截图+转发压缩,无(纯数字),无,无,04_business/05_resume/resume_001_应届毕业生求职简历.png,true
04_business/06_business_plan/bp_ancare_community_zh_v1,04_business,06_business_plan,04_business/06_business_plan/bp_ancare_community_zh_v1.json,04_business/06_business_plan/bp_ancare_community_zh_v1.html,04_business/06_business_plan/bp_ancare_community_zh_v1.png,04_business/06_business_plan/bp_ancare_community_zh_v1.png,04_business/06_business_plan/bp_ancare_community_zh_v1__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,04_business/06_business_plan/bp_ancare_community_zh_v1.png,true
04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook,04_business,07_employee_handbook,04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook.json,04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook.html,04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook.png,04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook.png,04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook__real_phone_bent_normal_top.png,phone_bent_indoor_normal_top,手机拍纸质文档,弯折(不压平),室内正常光,俯拍,04_business/07_employee_handbook/eh_007_Retail_Store_Trifold_Handbook.png,true
05_finance/01_invoice_receipt/invoice_receipt_001,05_finance,01_invoice_receipt,05_finance/01_invoice_receipt/invoice_receipt_001.json,05_finance/01_invoice_receipt/invoice_receipt_001.html,05_finance/01_invoice_receipt/invoice_receipt_001.png,05_finance/01_invoice_receipt/invoice_receipt_001.png,05_finance/01_invoice_receipt/invoice_receipt_001__real_phone_creased_low_top.jpg,phone_creased_indoor_low_top,手机拍纸质文档,折痕/褶皱,室内暗光,俯拍,05_finance/01_invoice_receipt/invoice_receipt_001.png,true
05_finance/02_financial_report/financial_report_001,05_finance,02_financial_report,05_finance/02_financial_report/financial_report_001.json,05_finance/02_financial_report/financial_report_001.html,05_finance/02_financial_report/financial_report_001.png,05_finance/02_financial_report/financial_report_001.png,05_finance/02_financial_report/financial_report_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,05_finance/02_financial_report/financial_report_001.png,true
05_finance/03_bank_statement/bank_statement_001,05_finance,03_bank_statement,05_finance/03_bank_statement/bank_statement_001.json,05_finance/03_bank_statement/bank_statement_001.html,05_finance/03_bank_statement/bank_statement_001.png,05_finance/03_bank_statement/bank_statement_001.png,05_finance/03_bank_statement/bank_statement_001__real_screenshot_na_na_na.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,05_finance/03_bank_statement/bank_statement_001.png,true
05_finance/04_tax_document/tax_document_001,05_finance,04_tax_document,05_finance/04_tax_document/tax_document_001.json,05_finance/04_tax_document/tax_document_001.html,05_finance/04_tax_document/tax_document_001.png,05_finance/04_tax_document/tax_document_001.png,05_finance/04_tax_document/tax_document_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,05_finance/04_tax_document/tax_document_001.png,true
05_finance/05_insurance/insurance_001,05_finance,05_insurance,05_finance/05_insurance/insurance_001.json,05_finance/05_insurance/insurance_001.html,05_finance/05_insurance/insurance_001.png,05_finance/05_insurance/insurance_001.png,05_finance/05_insurance/insurance_001__real_phone_photocopy_photocopy_normal_top.jpg,phone_photocopy,手机拍复印件,复印件,室内正常光,俯拍,05_finance/05_insurance/insurance_001.png,true
05_finance/06_utility_bill/utility_bill_001,05_finance,06_utility_bill,05_finance/06_utility_bill/utility_bill_001.json,05_finance/06_utility_bill/utility_bill_001.html,05_finance/06_utility_bill/utility_bill_001.png,05_finance/06_utility_bill/utility_bill_001.png,05_finance/06_utility_bill/utility_bill_001__real_phone_creased_normal_top.png,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,05_finance/06_utility_bill/utility_bill_001.png,true
05_finance/07_securities_statement/securities_statement_001,05_finance,07_securities_statement,05_finance/07_securities_statement/securities_statement_001.json,05_finance/07_securities_statement/securities_statement_001.html,05_finance/07_securities_statement/securities_statement_001.png,05_finance/07_securities_statement/securities_statement_001.png,05_finance/07_securities_statement/securities_statement_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,05_finance/07_securities_statement/securities_statement_001.png,true
05_finance/08_audit_report/audit_report_001,05_finance,08_audit_report,05_finance/08_audit_report/audit_report_001.json,05_finance/08_audit_report/audit_report_001.html,05_finance/08_audit_report/audit_report_001.png,05_finance/08_audit_report/audit_report_001.png,05_finance/08_audit_report/audit_report_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,05_finance/08_audit_report/audit_report_001.png,true
05_finance/09_fund_prospectus/fund_prospectus_001,05_finance,09_fund_prospectus,05_finance/09_fund_prospectus/fund_prospectus_001.json,05_finance/09_fund_prospectus/fund_prospectus_001.html,05_finance/09_fund_prospectus/fund_prospectus_001.png,05_finance/09_fund_prospectus/fund_prospectus_001.png,05_finance/09_fund_prospectus/fund_prospectus_001__real_phone_flat_flash_top.png,phone_flat_flash_top,手机拍纸质文档,平整,闪光灯,俯拍,05_finance/09_fund_prospectus/fund_prospectus_001.png,true
05_finance/10_credit_report/credit_report_001,05_finance,10_credit_report,05_finance/10_credit_report/credit_report_001.json,05_finance/10_credit_report/credit_report_001.html,05_finance/10_credit_report/credit_report_001.png,05_finance/10_credit_report/credit_report_001.png,05_finance/10_credit_report/credit_report_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,05_finance/10_credit_report/credit_report_001.png,true
06_medical/01_medical_report/medical_report_001,06_medical,01_medical_report,06_medical/01_medical_report/medical_report_001.json,06_medical/01_medical_report/medical_report_001.html,06_medical/01_medical_report/medical_report_001.png,06_medical/01_medical_report/medical_report_001.png,06_medical/01_medical_report/medical_report_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,06_medical/01_medical_report/medical_report_001.png,true
06_medical/02_prescription/prescription_001,06_medical,02_prescription,06_medical/02_prescription/prescription_001.json,06_medical/02_prescription/prescription_001.html,06_medical/02_prescription/prescription_001.png,06_medical/02_prescription/prescription_001.png,06_medical/02_prescription/prescription_001__real_phone_creased_normal_top.png,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,06_medical/02_prescription/prescription_001.png,true
06_medical/03_clinical_record/clinical_record_001,06_medical,03_clinical_record,06_medical/03_clinical_record/clinical_record_001.json,06_medical/03_clinical_record/clinical_record_001.html,06_medical/03_clinical_record/clinical_record_001.png,06_medical/03_clinical_record/clinical_record_001.png,06_medical/03_clinical_record/clinical_record_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,06_medical/03_clinical_record/clinical_record_001.png,true
06_medical/04_medical_bill/medical_bill_001,06_medical,04_medical_bill,06_medical/04_medical_bill/medical_bill_001.json,06_medical/04_medical_bill/medical_bill_001.html,06_medical/04_medical_bill/medical_bill_001.png,06_medical/04_medical_bill/medical_bill_001.png,06_medical/04_medical_bill/medical_bill_001__real_phone_creased_normal_top.png,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,06_medical/04_medical_bill/medical_bill_001.png,true
06_medical/05_health_record/health_record_001,06_medical,05_health_record,06_medical/05_health_record/health_record_001.json,06_medical/05_health_record/health_record_001.html,06_medical/05_health_record/health_record_001.png,06_medical/05_health_record/health_record_001.png,06_medical/05_health_record/health_record_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,06_medical/05_health_record/health_record_001.png,true
06_medical/06_medical_certificate/medical_certificate_001,06_medical,06_medical_certificate,06_medical/06_medical_certificate/medical_certificate_001.json,06_medical/06_medical_certificate/medical_certificate_001.html,06_medical/06_medical_certificate/medical_certificate_001.png,06_medical/06_medical_certificate/medical_certificate_001.png,06_medical/06_medical_certificate/medical_certificate_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,06_medical/06_medical_certificate/medical_certificate_001.png,true
06_medical/07_imaging_report/imaging_report_001,06_medical,07_imaging_report,06_medical/07_imaging_report/imaging_report_001.json,06_medical/07_imaging_report/imaging_report_001.html,06_medical/07_imaging_report/imaging_report_001.png,06_medical/07_imaging_report/imaging_report_001.png,06_medical/07_imaging_report/imaging_report_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,06_medical/07_imaging_report/imaging_report_001.png,true
06_medical/08_surgical_record/surgical_record_001,06_medical,08_surgical_record,06_medical/08_surgical_record/surgical_record_001.json,06_medical/08_surgical_record/surgical_record_001.html,06_medical/08_surgical_record/surgical_record_001.png,06_medical/08_surgical_record/surgical_record_001.png,06_medical/08_surgical_record/surgical_record_001__real_screen_na_screen_screen.jpg,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,06_medical/08_surgical_record/surgical_record_001.png,true
06_medical/09_discharge_summary/discharge_summary_001,06_medical,09_discharge_summary,06_medical/09_discharge_summary/discharge_summary_001.json,06_medical/09_discharge_summary/discharge_summary_001.html,06_medical/09_discharge_summary/discharge_summary_001.png,06_medical/09_discharge_summary/discharge_summary_001.png,06_medical/09_discharge_summary/discharge_summary_001__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,06_medical/09_discharge_summary/discharge_summary_001.png,true
06_medical/10_drug_instruction/drug_instruction_001,06_medical,10_drug_instruction,06_medical/10_drug_instruction/drug_instruction_001.json,06_medical/10_drug_instruction/drug_instruction_001.html,06_medical/10_drug_instruction/drug_instruction_001.png,06_medical/10_drug_instruction/drug_instruction_001.png,06_medical/10_drug_instruction/drug_instruction_001__real_phone_creased_normal_top.png,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,06_medical/10_drug_instruction/drug_instruction_001.png,true
07_publishing/01_newspaper/newspaper_001_财经日报头版,07_publishing,01_newspaper,07_publishing/01_newspaper/newspaper_001_财经日报头版.json,07_publishing/01_newspaper/newspaper_001_财经日报头版.html,07_publishing/01_newspaper/newspaper_001_财经日报头版.png,07_publishing/01_newspaper/newspaper_001_财经日报头版.png,07_publishing/01_newspaper/newspaper_001_财经日报头版__real_phone_creased_normal_top.jpg,phone_creased_indoor_normal_top,手机拍纸质文档,折痕/褶皱,室内正常光,俯拍,07_publishing/01_newspaper/newspaper_001_财经日报头版.png,true
07_publishing/02_magazine/magazine_001_人工智能专题,07_publishing,02_magazine,07_publishing/02_magazine/magazine_001_人工智能专题.json,07_publishing/02_magazine/magazine_001_人工智能专题.html,07_publishing/02_magazine/magazine_001_人工智能专题.png,07_publishing/02_magazine/magazine_001_人工智能专题.png,07_publishing/02_magazine/magazine_001_人工智能专题__real_phone_bent_normal_oblique.jpg,phone_bent_indoor_normal_oblique,手机拍纸质文档,弯折(不压平),室内正常光,斜拍(30-45度),07_publishing/02_magazine/magazine_001_人工智能专题.png,true
07_publishing/03_book/book_001_计算机网络_传输层协议,07_publishing,03_book,07_publishing/03_book/book_001_计算机网络_传输层协议.json,07_publishing/03_book/book_001_计算机网络_传输层协议.html,07_publishing/03_book/book_001_计算机网络_传输层协议.png,07_publishing/03_book/book_001_计算机网络_传输层协议.png,07_publishing/03_book/book_001_计算机网络_传输层协议__real_phone_bent_normal_top.jpg,phone_bent_indoor_normal_top,手机拍纸质文档,弯折(不压平),室内正常光,俯拍,07_publishing/03_book/book_001_计算机网络_传输层协议.png,true
07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单,07_publishing,04_brochure_menu,07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单.json,07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单.html,07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单.png,07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单.png,07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单__real_phone_flat_normal_top.jpg,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,07_publishing/04_brochure_menu/brochure_menu_001_日式料理菜单.png,true
07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录,07_publishing,05_catalog_directory,07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录.json,07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录.html,07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录.png,07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录.png,07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录__real_phone_bent_normal_top.png,phone_bent_indoor_normal_top,手机拍纸质文档,弯折(不压平),室内正常光,俯拍,07_publishing/05_catalog_directory/catalog_directory_001_电子元器件目录.png,true
08_technical/01_product_manual/product_manual_001_工业机器人操作手册,08_technical,01_product_manual,08_technical/01_product_manual/product_manual_001_工业机器人操作手册.json,08_technical/01_product_manual/product_manual_001_工业机器人操作手册.html,08_technical/01_product_manual/product_manual_001_工业机器人操作手册.png,08_technical/01_product_manual/product_manual_001_工业机器人操作手册.png,08_technical/01_product_manual/product_manual_001_工业机器人操作手册__real_phone_bent_normal_top.png,phone_bent_indoor_normal_top,手机拍纸质文档,弯折(不压平),室内正常光,俯拍,08_technical/01_product_manual/product_manual_001_工业机器人操作手册.png,true
08_technical/02_datasheet/datasheet_001_STM32F407_MCU,08_technical,02_datasheet,08_technical/02_datasheet/datasheet_001_STM32F407_MCU.json,08_technical/02_datasheet/datasheet_001_STM32F407_MCU.html,08_technical/02_datasheet/datasheet_001_STM32F407_MCU.png,08_technical/02_datasheet/datasheet_001_STM32F407_MCU.png,08_technical/02_datasheet/datasheet_001_STM32F407_MCU__real_phone_flat_normal_top.jpg,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,08_technical/02_datasheet/datasheet_001_STM32F407_MCU.png,true
08_technical/03_api_reference/api_doc_001_RESTful_API_Reference,08_technical,03_api_reference,08_technical/03_api_reference/api_doc_001_RESTful_API_Reference.json,08_technical/03_api_reference/api_doc_001_RESTful_API_Reference.html,08_technical/03_api_reference/api_doc_001_RESTful_API_Reference.png,08_technical/03_api_reference/api_doc_001_RESTful_API_Reference.png,08_technical/03_api_reference/api_doc_001_RESTful_API_Reference__real_screen_na_screen_screen.jpg,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,08_technical/03_api_reference/api_doc_001_RESTful_API_Reference.png,true
